heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.192000,242.878093,0.191000,23.506250,0.127000,23.906250,
0.388000,300.205027,0.383000,23.372917,0.319000,23.906250,
0.581000,343.648093,0.575000,23.211806,0.511000,23.906250,
0.768000,378.581693,0.767000,23.024769,0.703000,23.906250,
0.961000,406.349427,0.958000,22.829090,0.895000,23.906250,
1.154000,428.294893,1.151000,22.763863,1.086000,23.906250,
1.359000,444.865960,1.342000,22.608788,1.279000,23.906250,
1.538000,458.749827,1.534000,22.557096,1.471000,23.906250,
1.728000,469.050760,1.727000,22.406532,1.663000,23.906250,
1.921000,478.903827,1.919000,22.239677,1.855000,23.906250,
2.112000,486.069693,2.110000,22.184059,2.046000,23.906250,
2.305000,492.339827,2.302000,22.032186,2.238000,23.906250,
2.498000,497.266360,2.494000,21.848229,2.430000,23.906250,
2.687000,501.297160,2.686000,21.786910,2.622000,23.906250,
2.880000,504.432227,2.878000,21.766470,2.814000,23.906250,
3.071000,506.671560,3.069000,21.626323,3.006000,23.906250,
3.264000,509.358760,3.261000,21.446274,3.198000,23.906250,
3.455000,510.254493,3.453000,21.252925,3.389000,23.906250,
3.647000,509.806627,3.645000,21.071808,3.582000,23.906250,
3.840000,512.493827,3.837000,21.011436,3.774000,23.906250,
4.030000,509.806627,4.029000,20.857979,3.966000,23.906250,
4.225000,513.389560,4.221000,20.806826,4.157000,23.906250,
4.414000,513.837427,4.413000,20.789775,4.349000,23.906250,
4.612000,514.285293,4.605000,20.650758,4.541000,23.906250,
4.798000,512.045960,4.797000,20.604419,4.733000,23.906250,
4.996000,513.389560,4.989000,20.455640,4.924000,23.906250,
5.182000,513.389560,5.181000,20.406047,5.117000,23.906250,
5.376000,512.493827,5.373000,20.389516,5.309000,23.906250,
5.567000,510.702360,5.565000,20.250672,5.502000,23.906250,
5.760000,511.150227,5.757000,20.204391,5.693000,23.906250,
5.971000,510.254493,5.950000,20.188964,5.886000,23.906250,
6.143000,509.358760,6.141000,20.067155,6.077000,23.906250,
6.334000,508.463027,6.333000,20.026552,6.269000,23.906250,
6.526000,507.119427,6.525000,20.013017,6.461000,23.906250,
6.718000,503.536493,6.717000,20.008506,6.653000,23.906250,
6.919000,506.223693,6.909000,19.873669,6.845000,23.906250,
7.103000,504.432227,7.101000,19.828723,7.037000,23.906250,
7.296000,504.432227,7.292000,19.813741,7.228000,23.906250,
7.486000,503.088627,7.484000,19.808747,7.420000,23.906250,
7.682000,502.192893,7.676000,19.673749,7.613000,23.906250,
7.882000,501.745027,7.868000,19.628750,7.804000,24.039583,
8.062000,501.297160,8.060000,19.480417,7.997000,24.084028,
8.256000,500.849293,8.252000,19.430972,8.188000,23.965509,
8.446000,499.953560,8.444000,19.414491,8.380000,24.059336,
8.637000,498.162093,8.636000,19.275664,8.572000,23.957279,
8.829000,496.370627,8.828000,19.229388,8.764000,24.056593,
9.025000,486.069693,9.020000,19.213963,8.956000,24.089698,
9.213000,487.413293,9.211000,19.208821,9.148000,24.100733,
9.407000,489.652627,9.403000,19.090440,9.339000,24.104411,
9.598000,490.100493,9.595000,19.050980,9.532000,24.105637,
9.788000,488.756893,9.787000,19.037827,9.723000,24.106046,
9.984000,487.413293,9.979000,19.033442,9.915000,24.106182,
10.173000,486.069693,10.171000,19.031981,10.108000,24.106227,
10.364000,484.726093,10.363000,18.898160,10.299000,24.106242,
10.557000,483.830360,10.555000,18.853553,10.491000,24.106247,
10.748000,482.038893,10.747000,18.838684,10.683000,24.106249,
10.940000,480.695293,10.939000,18.833728,10.875000,24.106250,
11.132000,479.799560,11.131000,18.832076,11.067000,24.106250,
11.324000,478.455960,11.323000,18.698192,11.258000,24.106250,
11.518000,474.425160,11.514000,18.653564,11.451000,24.106250,
11.711000,478.008093,11.706000,18.638688,11.642000,24.106250,
11.899000,477.560227,11.898000,18.633729,11.835000,24.106250,
12.092000,467.259293,12.090000,18.498743,12.026000,24.106250,
12.284000,476.216627,12.282000,18.453748,12.219000,24.106250,
12.476000,475.768760,12.474000,18.438749,12.411000,24.106250,
12.668000,473.977293,12.666000,18.433750,12.602000,24.106250,
12.859000,473.529427,12.858000,18.432083,12.794000,24.106250,
13.051000,470.394360,13.050000,18.431528,12.986000,24.106250,
13.253000,471.290093,13.242000,18.431343,13.178000,24.106250,
13.435000,471.737960,13.433000,18.297948,13.369000,24.106250,
13.640000,470.394360,13.625000,18.253483,13.561000,24.222917,
13.819000,469.050760,13.817000,18.238661,13.754000,24.145139,
14.014000,467.259293,14.010000,18.233720,13.945000,24.119213,
14.202000,465.019960,14.201000,18.232073,14.137000,24.227238,
14.398000,463.228493,14.393000,18.231524,14.330000,24.263246,
14.586000,461.437027,14.585000,18.098008,14.521000,24.275249,
14.778000,460.541293,14.777000,18.053503,14.713000,24.279250,
14.970000,459.645560,14.969000,18.038668,14.905000,24.280583,
15.162000,450.688227,15.161000,18.033723,15.097000,24.281028,
15.354000,457.854093,15.353000,18.032074,15.289000,24.281176,
15.548000,453.823293,15.544000,18.031525,15.480000,24.281225,
15.740000,455.166893,15.737000,17.914675,15.672000,24.281242,
15.931000,455.166893,15.928000,17.875725,15.865000,24.281247,
16.122000,454.719027,16.120000,17.862742,16.056000,24.281249,
16.313000,454.271160,16.312000,17.858414,16.249000,24.281250,
16.506000,454.271160,16.504000,17.856971,16.441000,24.281250,
16.698000,452.927560,16.696000,17.856490,16.632000,24.414583,
