heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.195000,659.841960,0.192000,22.300000,0.128000,23.075000,
0.386000,742.697293,0.384000,22.166667,0.320000,23.208333,
0.578000,803.159293,0.576000,21.855556,0.512000,23.119444,
0.770000,849.737427,0.768000,21.618519,0.705000,23.223148,
0.962000,885.566760,0.960000,21.422840,0.897000,23.124383,
1.154000,912.886627,1.152000,21.090947,1.089000,23.091461,
1.348000,934.832093,1.345000,20.846982,1.281000,23.080487,
1.540000,951.403160,1.537000,20.632327,1.474000,23.076829,
1.734000,965.734893,1.730000,20.444109,1.666000,23.075610,
1.924000,974.692227,1.922000,20.248036,1.858000,23.075203,
2.119000,984.097427,2.114000,20.049345,2.051000,23.075068,
2.309000,990.815427,2.306000,19.849782,2.242000,23.075023,
2.501000,995.294093,2.498000,19.649927,2.435000,23.075008,
2.695000,999.324893,2.691000,19.466642,2.627000,23.075003,
2.885000,1000.668493,2.883000,19.272214,2.819000,23.075001,
3.079000,1000.668493,3.075000,19.074071,3.012000,23.075000,
3.271000,1001.116360,3.267000,18.895524,3.204000,23.095833,
3.465000,1000.668493,3.460000,18.836008,3.396000,23.102778,
3.653000,1000.220627,3.652000,18.682836,3.588000,23.238426,
3.846000,999.324893,3.845000,18.498445,3.781000,23.283642,
4.046000,997.533427,4.038000,18.436982,3.974000,23.298714,
4.231000,995.294093,4.230000,18.278994,4.166000,23.282905,
4.426000,993.502627,4.422000,18.113831,4.358000,23.298468,
4.616000,991.263293,4.614000,18.058777,4.551000,23.303656,
4.808000,989.023960,4.807000,17.907092,4.743000,23.305385,
5.003000,988.128227,4.999000,17.856531,4.935000,23.305962,
5.193000,987.232493,5.191000,17.706344,5.128000,23.306154,
5.387000,984.993160,5.384000,17.656281,5.320000,23.306218,
5.577000,983.201693,5.576000,17.506260,5.512000,23.439573,
5.770000,980.066627,5.768000,17.339587,5.705000,23.484024,
5.962000,976.483693,5.960000,17.284029,5.897000,23.498841,
6.154000,974.244360,6.153000,17.132176,6.089000,23.503780,
6.350000,972.005027,6.346000,17.081559,6.282000,23.505427,
6.541000,968.869960,6.537000,16.931353,6.474000,23.505976,
6.733000,966.182760,6.730000,16.881284,6.666000,23.506159,
6.927000,957.673293,6.922000,16.843761,6.858000,23.602053,
7.116000,956.329693,7.114000,16.697920,7.051000,23.517351,
7.310000,952.746760,7.307000,16.670140,7.243000,23.759950,
7.502000,949.163827,7.499000,16.506713,7.435000,23.819983,
7.697000,943.789427,7.692000,16.452238,7.627000,23.839994,
7.885000,937.519293,7.883000,16.454913,7.820000,23.867498,
8.078000,934.384227,8.075000,16.455804,8.012000,23.876666,
8.270000,926.770493,8.268000,16.339435,8.205000,23.879722,
8.462000,913.782360,8.460000,16.300645,8.397000,23.880741,
8.657000,917.365293,8.653000,16.287715,8.589000,24.014414,
8.847000,913.782360,8.845000,16.150072,8.781000,24.058971,
9.039000,912.438760,9.037000,16.104191,8.974000,24.073824,
9.233000,912.438760,9.229000,15.955564,9.166000,24.212108,
9.423000,908.855827,9.422000,15.906021,9.359000,24.258203,
9.619000,906.168627,9.615000,15.889507,9.551000,24.406901,
9.810000,907.512227,9.806000,15.884002,9.743000,24.323134,
10.000000,904.825027,9.998000,15.882167,9.936000,24.295211,
10.193000,898.554893,10.191000,15.748222,10.127000,24.419237,
10.386000,895.419827,10.383000,15.703574,10.320000,24.460579,
10.577000,889.597560,10.575000,15.688691,10.512000,24.474360,
10.771000,886.462493,10.768000,15.683730,10.704000,24.478953,
10.965000,886.462493,10.960000,15.548743,10.897000,24.480484,
11.155000,886.014627,11.152000,15.503748,11.089000,24.597661,
11.347000,885.118893,11.345000,15.488749,11.281000,24.636720,
11.541000,882.879560,11.538000,15.483750,11.474000,24.649740,
11.732000,879.744493,11.729000,15.348750,11.666000,24.654080,
11.927000,875.265827,11.922000,15.303750,11.858000,24.655527,
12.116000,871.235027,12.114000,15.288750,12.050000,24.656009,
12.307000,866.756360,12.306000,15.283750,12.243000,24.656170,
12.500000,865.412760,12.498000,15.282083,12.435000,24.656223,
12.692000,860.486227,12.691000,15.281528,12.627000,24.656241,
12.891000,857.799027,12.883000,15.164676,12.820000,24.656247,
13.078000,852.424627,13.075000,15.125725,13.012000,24.789582,
13.269000,850.185293,13.268000,15.112742,13.204000,24.834027,
13.462000,848.841693,13.460000,15.108414,13.397000,24.848842,
13.654000,846.602360,13.652000,15.106971,13.589000,24.853781,
13.846000,847.498093,13.845000,15.106490,13.781000,24.855427,
14.040000,841.675827,14.037000,15.106330,13.973000,24.855976,
14.233000,837.645027,14.229000,15.106277,14.166000,24.856159,
14.423000,835.405693,14.421000,14.972926,14.358000,24.856220,
14.615000,834.062093,14.614000,14.928475,14.550000,24.856240,
14.811000,832.718493,14.807000,14.913658,14.743000,24.856247,
15.001000,830.031293,14.999000,14.908719,14.935000,24.989582,
15.196000,828.239827,15.191000,14.907073,15.127000,25.034027,
15.386000,824.656893,15.383000,14.906524,15.320000,25.048842,
15.578000,822.417560,15.576000,14.773008,15.512000,25.053781,
15.770000,818.834627,15.768000,14.728503,15.705000,25.055427,
15.962000,818.386760,15.961000,14.713668,15.897000,25.055976,
16.156000,818.386760,16.154000,14.708723,16.090000,25.056159,
16.347000,818.834627,16.345000,14.707074,16.282000,25.056220,
16.539000,815.251693,16.538000,14.706525,16.474000,25.056240,
16.731000,812.564493,16.730000,14.706342,16.667000,25.056247,
16.924000,810.325160,16.922000,14.706281,16.859000,25.056249,
17.120000,808.533693,17.115000,14.706260,17.051000,25.056250,
17.312000,802.263560,17.308000,14.572920,17.244000,25.056250,
17.503000,800.472093,17.499000,14.528473,17.436000,25.056250,
17.697000,800.024227,17.692000,14.646991,17.628000,25.056250,
17.888000,799.128493,17.885000,14.553164,17.821000,25.189583,
18.080000,796.441293,18.077000,14.521888,18.013000,25.234028,
18.271000,791.962627,18.269000,14.511463,18.206000,25.248843,
18.466000,791.962627,18.462000,14.507988,18.398000,25.253781,
18.656000,790.171160,18.654000,14.506829,18.590000,25.255427,
18.848000,787.036093,18.846000,14.506443,18.783000,25.255976,
