heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.199000,628.043427,0.191000,22.487500,0.128000,23.662500,
0.410000,696.567027,0.384000,22.370833,0.320000,23.662500,
0.577000,748.519560,0.576000,22.198611,0.512000,23.795833,
0.770000,788.827560,0.768000,22.007870,0.704000,23.706944,
0.965000,819.282493,0.960000,21.677623,0.897000,23.677315,
1.157000,843.467293,1.153000,21.434208,1.089000,23.667438,
1.361000,863.173427,1.345000,21.103069,1.281000,23.664146,
1.539000,877.953027,1.537000,20.992690,1.473000,23.663049,
1.734000,886.014627,1.730000,20.822563,1.666000,23.662683,
1.927000,899.450627,1.922000,20.632521,1.858000,23.662561,
2.121000,908.407960,2.114000,20.435840,2.050000,23.795854,
2.316000,913.334493,2.307000,20.253613,2.243000,23.706951,
2.525000,918.261027,2.499000,20.059538,2.435000,23.810650,
2.692000,920.500360,2.691000,19.861513,2.627000,23.711883,
2.886000,923.635427,2.883000,19.795504,2.819000,23.812294,
3.081000,924.083293,3.078000,19.506835,3.012000,23.712431,
3.273000,925.874760,3.268000,19.410612,3.204000,23.679144,
3.463000,926.322627,3.460000,19.261871,3.397000,23.801381,
3.654000,926.770493,3.652000,19.212290,3.589000,23.708794,
3.846000,925.426893,3.845000,19.062430,3.781000,23.811265,
4.038000,926.770493,4.037000,18.879143,3.973000,23.845422,
4.232000,919.604627,4.230000,18.797214,4.165000,23.835974,
4.425000,918.261027,4.422000,18.657405,4.359000,23.853658,
4.619000,916.469560,4.615000,18.477468,4.551000,23.992886,
4.808000,914.230227,4.807000,18.417489,4.743000,24.039295,
5.004000,913.782360,4.999000,18.264163,4.936000,24.054765,
5.193000,912.886627,5.191000,18.213054,5.127000,24.059922,
5.385000,912.438760,5.384000,18.079351,5.320000,23.928307,
5.579000,909.303693,5.576000,18.034784,5.513000,24.017769,
5.771000,905.272893,5.768000,17.886595,5.705000,24.047590,
5.961000,903.929293,5.961000,17.837198,5.897000,24.057530,
6.154000,901.242093,6.153000,17.820733,6.089000,24.194177,
6.348000,899.898493,6.345000,17.681911,6.281000,24.239726,
6.542000,896.763427,6.538000,17.635637,6.473000,24.254909,
6.735000,894.076227,6.730000,17.486879,6.666000,24.259970,
6.923000,890.045427,6.922000,17.437293,6.858000,24.261657,
7.116000,887.806093,7.114000,17.287431,7.051000,24.262219,
7.313000,884.671027,7.307000,17.237477,7.243000,24.262406,
7.500000,882.431693,7.499000,17.220826,7.435000,24.262469,
7.692000,878.400893,7.691000,17.098609,7.628000,24.379156,
7.885000,875.713693,7.883000,17.057870,7.819000,24.301385,
8.077000,872.130760,8.076000,16.910957,8.012000,24.275462,
8.269000,870.787160,8.268000,16.995319,8.204000,24.266821,
8.461000,867.652093,8.460000,16.890106,8.396000,24.380607,
8.656000,865.412760,8.652000,16.855035,8.589000,24.418536,
8.846000,862.725560,8.845000,16.710012,8.781000,24.431179,
9.039000,859.142627,9.037000,16.661671,8.973000,24.435393,
9.259000,856.903293,9.229000,16.645557,9.165000,24.436798,
9.427000,852.424627,9.422000,16.640186,9.358000,24.437266,
9.616000,848.841693,9.614000,16.638395,9.550000,24.437422,
9.808000,844.810893,9.806000,16.504465,9.743000,24.437474,
9.999000,839.884360,9.999000,16.459822,9.935000,24.437491,
