heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.188000,461.437027,0.186000,23.287500,0.122000,23.662500,
0.385000,546.979560,0.381000,23.154167,0.317000,23.662500,
0.578000,611.472360,0.574000,22.976389,0.510000,23.662500,
0.767000,658.946227,0.766000,22.783796,0.702000,23.662500,
0.960000,695.223427,0.958000,22.586265,0.894000,23.662500,
1.152000,723.439027,1.150000,22.403755,1.087000,23.662500,
1.344000,745.384493,1.343000,22.342918,1.279000,23.662500,
1.538000,762.403427,1.535000,22.055973,1.471000,23.662500,
1.730000,776.735160,1.727000,21.960324,1.663000,23.662500,
1.921000,787.483960,1.919000,21.795108,1.856000,23.662500,
2.120000,795.993427,2.115000,21.606703,2.048000,23.529167,
2.309000,802.711427,2.304000,21.410568,2.240000,23.618056,
2.500000,808.533693,2.496000,21.228523,2.433000,23.647685,
2.692000,811.668760,2.689000,21.034508,2.625000,23.657562,
2.885000,815.251693,2.881000,20.969836,2.817000,23.660854,
3.078000,817.938893,3.073000,20.814945,3.009000,23.661951,
3.267000,819.730360,3.265000,20.629982,3.202000,23.662317,
3.459000,820.626093,3.458000,20.568327,3.394000,23.662439,
3.658000,821.969693,3.651000,20.414442,3.587000,23.662480,
3.847000,821.969693,3.843000,20.246481,3.779000,23.662493,
4.040000,822.417560,4.035000,20.190494,3.972000,23.662498,
4.229000,821.969693,4.228000,20.038498,4.164000,23.662499,
4.422000,820.626093,4.420000,19.987833,4.356000,23.662500,
4.614000,820.178227,4.612000,19.837611,4.549000,23.662500,
4.807000,818.834627,4.805000,19.654204,4.741000,23.795833,
4.999000,817.491027,4.997000,19.593068,4.933000,23.840278,
5.190000,817.043160,5.189000,19.460189,5.125000,23.875926,
5.384000,814.803827,5.381000,19.395063,5.318000,23.866975,
5.575000,812.564493,5.574000,19.256688,5.510000,23.863992,
5.771000,810.773027,5.766000,19.210563,5.702000,23.862997,
5.962000,808.085827,5.959000,19.195188,5.895000,23.862666,
6.152000,804.950760,6.150000,19.056729,6.087000,23.862555,
6.345000,802.711427,6.343000,19.010576,6.279000,23.862518,
6.536000,800.472093,6.535000,18.995192,6.472000,23.995839,
6.731000,796.889160,6.727000,18.856731,6.664000,23.906946,
6.923000,794.201960,6.920000,18.677244,6.856000,23.877315,
7.119000,790.619027,7.112000,18.617415,7.048000,24.000772,
7.307000,790.171160,7.304000,18.597472,7.240000,24.041924,
7.498000,787.483960,7.496000,18.590824,7.433000,24.188975,
7.690000,785.244627,7.689000,18.455275,7.625000,24.237992,
7.883000,782.557427,7.881000,18.410092,7.817000,24.254331,
8.076000,780.318093,8.074000,18.395031,8.010000,24.259777,
8.268000,777.183027,8.266000,18.256677,8.202000,24.261592,
8.460000,774.047960,8.458000,18.210559,8.394000,24.262197,
8.654000,771.360760,8.650000,18.195186,8.586000,24.262399,
8.844000,767.329960,8.842000,18.190062,8.779000,24.262466,
9.038000,766.882093,9.035000,18.071687,8.972000,24.262489,
9.233000,763.747027,9.227000,18.032229,9.163000,24.262496,
9.421000,760.611960,9.419000,18.019076,9.356000,24.262499,
9.615000,761.059827,9.612000,17.881359,9.548000,24.262500,
9.805000,760.164093,9.804000,17.835453,9.740000,24.262500,
9.997000,758.372627,9.996000,17.820151,9.932000,24.379167,
10.189000,755.237560,10.188000,17.815050,10.125000,24.301389,
10.382000,753.893960,10.381000,17.813350,10.317000,24.392130,
10.576000,750.311027,10.573000,17.812783,10.509000,24.422377,
10.767000,747.175960,10.765000,17.679261,10.701000,24.432459,
10.961000,744.488760,10.958000,17.634754,10.894000,24.435820,
11.151000,742.249427,11.150000,17.486585,11.086000,24.436940,
11.345000,740.905827,11.342000,17.437195,11.278000,24.437313,
11.537000,740.010093,11.534000,17.420732,11.471000,24.437438,
11.728000,739.114360,11.727000,17.415244,11.663000,24.437479,
11.920000,738.218627,11.919000,17.413415,11.855000,24.437493,
12.113000,738.218627,12.111000,17.412805,12.047000,24.437498,
12.307000,737.770760,12.303000,17.412602,12.240000,24.437499,
12.498000,735.531427,12.496000,17.279201,12.432000,24.437500,
12.689000,733.739960,12.688000,17.234734,12.624000,24.437500,
12.881000,732.396360,12.880000,17.219911,12.817000,24.437500,
13.075000,729.261293,13.072000,17.214970,13.009000,24.437500,
13.268000,726.574093,13.265000,17.213323,13.201000,24.437500,
13.459000,726.126227,13.457000,17.096108,13.393000,24.437500,
13.652000,723.439027,13.649000,17.057036,13.586000,24.570833,
13.843000,720.303960,13.841000,17.044012,13.778000,24.615278,
14.038000,718.512493,14.034000,17.039671,13.970000,24.630093,
14.230000,715.825293,14.226000,17.038224,14.163000,24.635031,
14.421000,713.585960,14.418000,17.037741,14.355000,24.636677,
14.614000,711.346627,14.611000,16.904247,14.547000,24.637226,
14.808000,709.107293,14.803000,16.859749,14.740000,24.637409,
14.998000,709.107293,14.995000,16.844916,14.931000,24.637470,
15.192000,704.628627,15.188000,16.839972,15.124000,24.637490,
15.383000,704.628627,15.380000,16.838324,15.316000,24.637497,
15.575000,701.045693,15.572000,16.837775,15.508000,24.637499,
15.766000,696.567027,15.764000,16.837592,15.701000,24.637500,
15.958000,692.088360,15.957000,16.837531,15.893000,24.637500,
16.151000,690.296893,16.149000,16.837510,16.085000,24.637500,
16.343000,688.505427,16.341000,16.704170,16.278000,24.637500,
16.538000,686.713960,16.534000,16.793057,16.470000,24.637500,
16.728000,683.131027,16.726000,16.689352,16.662000,24.637500,
16.920000,682.235293,16.918000,16.788117,16.854000,24.637500,
17.112000,683.578893,17.110000,16.687706,17.047000,24.637500,
17.306000,682.235293,17.303000,16.654235,17.239000,24.770833,
17.496000,682.235293,17.495000,16.643078,17.431000,24.815278,
17.688000,682.235293,17.687000,16.639359,17.623000,24.830093,
17.883000,680.891693,17.879000,16.638120,17.816000,24.835031,
18.075000,681.339560,18.072000,16.637707,18.008000,24.836677,
18.265000,680.443827,18.264000,16.637569,18.200000,24.837226,
18.463000,679.100227,18.456000,16.637523,18.393000,24.837409,
18.650000,676.860893,18.648000,16.637508,18.585000,24.837470,
18.843000,678.204493,18.841000,16.504169,18.777000,24.837490,
19.035000,676.860893,19.033000,16.593056,18.969000,24.837497,
19.227000,672.382227,19.225000,16.489352,19.162000,24.837499,
19.421000,670.142893,19.418000,16.454784,19.354000,24.837500,
19.614000,671.486493,19.610000,16.443261,19.546000,24.837500,
19.805000,667.903560,19.802000,16.439420,19.739000,24.837500,
19.997000,667.007827,19.994000,16.438140,19.931000,24.837500,
20.188000,665.664227,20.187000,16.437713,20.123000,24.837500,
20.381000,663.872760,20.379000,16.437571,20.315000,24.837500,
20.573000,665.216360,20.571000,16.304190,20.508000,24.837500,
20.769000,663.424893,20.764000,16.259730,20.700000,24.837500,
20.960000,661.633427,20.957000,16.244910,20.892000,24.837500,
21.150000,658.498360,21.149000,16.239970,21.085000,24.837500,
21.343000,658.050493,21.341000,16.238323,21.278000,24.837500,
21.535000,657.154760,21.534000,16.237774,21.470000,24.970833,
21.729000,653.123960,21.726000,16.237591,21.662000,24.881944,
21.920000,654.019693,21.918000,16.237530,21.855000,24.985648,
22.123000,652.676093,22.111000,16.237510,22.047000,25.020216,
22.306000,651.332493,22.303000,16.237503,22.239000,25.031739,
22.498000,650.884627,22.495000,16.237501,22.432000,25.035580,
22.691000,649.988893,22.688000,16.120834,22.624000,25.036860,
22.882000,648.197427,22.880000,16.081945,22.817000,25.037287,
23.077000,647.301693,23.073000,16.185648,23.009000,25.037429,
23.267000,648.197427,23.265000,16.220216,23.201000,25.037476,
23.459000,648.645293,23.457000,16.115072,23.394000,25.037492,
23.651000,647.301693,23.650000,16.080024,23.586000,25.037497,
23.844000,643.718760,23.842000,16.068341,23.778000,25.037499,
24.036000,641.927293,24.034000,16.064447,23.971000,25.037500,
24.228000,640.583693,24.227000,16.063149,24.163000,25.037500,
24.421000,637.000760,24.419000,16.062716,24.356000,25.037500,
24.613000,632.522093,24.611000,16.062572,24.548000,25.037500,
