1481574420, 574825048, 58910, 59166, 58910, 57630, 58398, 59934, 59934, 58654, 57374, 56606, 60958, 60958, 60446, 58398, 58142, 60190, 61214, 60958, 60702, 59422, 60190, 58654, 60702, 59678, 60702, 
1481574430, 595509052, 57118, 57630, 56606, 56350, 56350, 58142, 57886, 56862, 55326, 53790, 58654, 58654, 57886, 56606, 55838, 58398, 58654, 58398, 58398, 57118, 58398, 56862, 58910, 58142, 58398, 
1481574440, 616421937, 55582, 55070, 55326, 54814, 55070, 55838, 55838, 54814, 54046, 53022, 56350, 56862, 56350, 54302, 54302, 56606, 57118, 56862, 56606, 56094, 56862, 54558, 56350, 56862, 57118, 
1481574450, 637303113, 10271, 9759, 9503, 9247, 10015, 11807, 10783, 10015, 8991, 6943, 11807, 11807, 11295, 9247, 8991, 11807, 10527, 11807, 11295, 9759, 11039, 9503, 9503, 10015, 10271, 
1481574460, 696307897, 19999, 20511, 19743, 19487, 19487, 21791, 20767, 20255, 18719, 17439, 22047, 22047, 21791, 19231, 18463, 21791, 20511, 21535, 21023, 20255, 21535, 19487, 19999, 19743, 20255, 
1481574470, 717547893, 20255, 20767, 20511, 19743, 19231, 21791, 21279, 19999, 19231, 16927, 22815, 22303, 22047, 19743, 18719, 21791, 21279, 22047, 21535, 20255, 21279, 19999, 20511, 20255, 20767, 
1481574480, 737989902, 17951, 18975, 17439, 17183, 17439, 19999, 19487, 18463, 17439, 15135, 20511, 19999, 19487, 18207, 16671, 19743, 19743, 19743, 19487, 18463, 18975, 18463, 18463, 18463, 18463, 
1481574490, 758820056, 16927, 17439, 16927, 16927, 16671, 18463, 18207, 16927, 16671, 13343, 19999, 18975, 19231, 17183, 15135, 18975, 18975, 18463, 18463, 16415, 18463, 17695, 17439, 17695, 17439, 
1481574500, 779447078, 14879, 15903, 14879, 15391, 14623, 16671, 16927, 16159, 14623, 12063, 16927, 17439, 17439, 15135, 13087, 16671, 17183, 16927, 16671, 15391, 16159, 15391, 15903, 16159, 16159, 
1481574510, 800529956, 13599, 14367, 13343, 13855, 13087, 15391, 15135, 13855, 13599, 10527, 15647, 15647, 15391, 13087, 12063, 15647, 15903, 16159, 15391, 13599, 15135, 14111, 14367, 14879, 14367, 
1481574520, 859868049, 12575, 13343, 12063, 12319, 12575, 14111, 14367, 13087, 11807, 9759, 14623, 15135, 14623, 11807, 11295, 14623, 14367, 14367, 13855, 12575, 13599, 12831, 13855, 13343, 13855, 
1481574530, 880192995, 12575, 13343, 12319, 12319, 12575, 14367, 13599, 12575, 12063, 10271, 13855, 14367, 14111, 12063, 10783, 13855, 14111, 14367, 13599, 12831, 13343, 13087, 13087, 13087, 13343, 
1481574540, 901365995, 12063, 12575, 11551, 11807, 12319, 13855, 13855, 12319, 11551, 9759, 13599, 14111, 13343, 11551, 10527, 13343, 13855, 13855, 13343, 12575, 12831, 11807, 12063, 12831, 13087, 
1481574550, 921804904, 12063, 12319, 11551, 11551, 11807, 13599, 13087, 11551, 11551, 8479, 13087, 13599, 13343, 11807, 10527, 13599, 13343, 14111, 12831, 11551, 13343, 11807, 12575, 12063, 12319, 
1481574560, 942840099, 11551, 11807, 11039, 10527, 11295, 13599, 13599, 11807, 10015, 8479, 13599, 13599, 12575, 10783, 9759, 13087, 13087, 13087, 12063, 11551, 13087, 11039, 12063, 11551, 11807, 
1481574570, 963556051, 11295, 11039, 11039, 10271, 10783, 12831, 12831, 11295, 10783, 8223, 12575, 13087, 12831, 10783, 9247, 13087, 13087, 13087, 12319, 11295, 12319, 10783, 11551, 11807, 12063, 
1481574580, 984224081, 10783, 11039, 10271, 10271, 11039, 12319, 12063, 11039, 10271, 8479, 12831, 13087, 12831, 10527, 10015, 12319, 12575, 12831, 12063, 11295, 12319, 11551, 11807, 11295, 12063, 
1481574591, 5213975, 10271, 10783, 10527, 10527, 10783, 11807, 12063, 11295, 10527, 7967, 11807, 12575, 12575, 10783, 9503, 12319, 12319, 12319, 12063, 11295, 11807, 10783, 11295, 11551, 11807, 
1481574601, 25631904, 9759, 11039, 9247, 9759, 10015, 11807, 12319, 9759, 10783, 7711, 11807, 12831, 11807, 10015, 9247, 11807, 12063, 11807, 11295, 11039, 11295, 10783, 11551, 10783, 11295, 
1481574611, 46426057, 10783, 11295, 10783, 11039, 11039, 12575, 12063, 11295, 9759, 7967, 12831, 13343, 12575, 10783, 9247, 12319, 12063, 12831, 12063, 11295, 12063, 10783, 12319, 11551, 11807, 
1481574621, 67325115, 11039, 11551, 11039, 11295, 11807, 12575, 12831, 11295, 10271, 8479, 12575, 13087, 13087, 11295, 10015, 13087, 12831, 12575, 13087, 12063, 12319, 11551, 12063, 11807, 12063, 
1481574631, 126636028, 10783, 11551, 11039, 11039, 10527, 12831, 12575, 11295, 10527, 8479, 12831, 12831, 12063, 10783, 9247, 12575, 13343, 11807, 12319, 11295, 12319, 11551, 11807, 11295, 11295, 
1481574641, 147377967, 11295, 11807, 11551, 11039, 11807, 12575, 12831, 11039, 10783, 8735, 12831, 12831, 13087, 11039, 10271, 12575, 12831, 12831, 12831, 12063, 12319, 11551, 12063, 11807, 11807, 
1481574651, 206613063, 12831, 12575, 11551, 11807, 12575, 13855, 13599, 11807, 11551, 9503, 14111, 14367, 13599, 11551, 10783, 13855, 13855, 13087, 13599, 12831, 13343, 12319, 12319, 12063, 13087, 
1481574661, 188970088, 14879, 15647, 14623, 14367, 14879, 16671, 16415, 15135, 14111, 12063, 16927, 17439, 16671, 14367, 13855, 16927, 16671, 16671, 16927, 15903, 16415, 15135, 16159, 15647, 15647, 
1481574671, 209582090, 17951, 17951, 17951, 17439, 17695, 19743, 18719, 17695, 17183, 14623, 19743, 19743, 19487, 17183, 15903, 20255, 19487, 18975, 18975, 17695, 18719, 17951, 18207, 18463, 17951, 
1481574681, 230148077, 20511, 21023, 20255, 19743, 19743, 22047, 21279, 19999, 18719, 17183, 22047, 22303, 21279, 18975, 18975, 22559, 21791, 21535, 21279, 20511, 21023, 20511, 20767, 20511, 20511, 
1481574691, 212563037, 22303, 22559, 21791, 21535, 22303, 23839, 23071, 21535, 21791, 19231, 23583, 23839, 23071, 21535, 20767, 24095, 23583, 23071, 23839, 22303, 23071, 22303, 22303, 22559, 22559, 
1481574701, 233390092, 23583, 23583, 23071, 22303, 22815, 24863, 24607, 22815, 22559, 20767, 24607, 25631, 24863, 22559, 22047, 24863, 24863, 24863, 25887, 24095, 24607, 23839, 23839, 23583, 23839, 
1481574711, 215709924, 24607, 24607, 24095, 23327, 23839, 25631, 25119, 23839, 22559, 21023, 25375, 25887, 25119, 23327, 22815, 26143, 25375, 25887, 25631, 24607, 24607, 23839, 24607, 24095, 24607, 
1481574721, 274946928, 24095, 24863, 24351, 23327, 24095, 25631, 25119, 24351, 23327, 21535, 26143, 26143, 25631, 23327, 22815, 25631, 25631, 25887, 25887, 24351, 25119, 24095, 24095, 24863, 24351, 
1481574731, 257014036, 24607, 25119, 23583, 22815, 23839, 26655, 25375, 23583, 23071, 20767, 25631, 26399, 24863, 23583, 22559, 26143, 26143, 25119, 26143, 24351, 25887, 24863, 24095, 24351, 25119, 
1481574741, 316452026, 24095, 24351, 23839, 23071, 23839, 25375, 25119, 23583, 23327, 21791, 25119, 25887, 25119, 23839, 22559, 25631, 25631, 25631, 25375, 24351, 24863, 23583, 24095, 23839, 25119, 
1481574751, 299855947, 23839, 24607, 23327, 23327, 23071, 25119, 25631, 23327, 22815, 20767, 25119, 25887, 24863, 22815, 22559, 25887, 25375, 25631, 25375, 23839, 24863, 23839, 24351, 24095, 24095, 
1481574761, 319374084, 35103, 33823, 33823, 32543, 33567, 35615, 35615, 34335, 33567, 31263, 34847, 35615, 35103, 34079, 33567, 36127, 35103, 36127, 34847, 34847, 35359, 33567, 35103, 34591, 34847, 
1481574771, 340491056, 37151, 36127, 36127, 35615, 35615, 38175, 37151, 36127, 35871, 33823, 37407, 37663, 37151, 35615, 35615, 37919, 37151, 38175, 37151, 36383, 37407, 34847, 36895, 37151, 36639, 
1481574781, 360872030, 36127, 35359, 35359, 34591, 34591, 37407, 37151, 35615, 35103, 32799, 36383, 37407, 36639, 35103, 34847, 37407, 36639, 37663, 36127, 35615, 36895, 34335, 35871, 35871, 35359, 
1481574791, 381823062, 34335, 33567, 33567, 33055, 33311, 35103, 35103, 33823, 33055, 30751, 34847, 35359, 34847, 33311, 32799, 34591, 34335, 35615, 34591, 34079, 34591, 32287, 34335, 34335, 34591, 
1481574801, 364038944, 32799, 32799, 32287, 32031, 32543, 34079, 34591, 32543, 31519, 29727, 34335, 34335, 34079, 32031, 32799, 34591, 34335, 34847, 34079, 33311, 33823, 31519, 33055, 33311, 34079, 
1481574811, 422972917, 32031, 31007, 31519, 30751, 31519, 33823, 33311, 31775, 31263, 28959, 33311, 33311, 32287, 31263, 31263, 33567, 32799, 33311, 32543, 32031, 32799, 31007, 31519, 32543, 32799, 
