heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.210000,-638.210000,0.192000,19.956250,0.128000,26.206250,
0.388000,-655.676800,0.386000,19.327083,0.322000,26.110417,
0.583000,-670.904267,0.581000,18.334028,0.516000,26.078472,
0.776000,-681.205200,0.775000,17.332176,0.711000,26.046991,
0.971000,-689.266800,0.970000,16.481559,0.905000,26.153164,
1.168000,-694.193333,1.164000,15.681353,1.100000,26.071888,
1.360000,-698.672000,1.359000,14.897951,1.294000,26.044796,
1.555000,-701.359200,1.553000,14.236817,1.489000,26.035765,
1.750000,-707.181467,1.747000,13.633106,1.683000,26.032755,
1.947000,-715.243067,1.942000,13.186035,1.877000,26.052585,
2.138000,-721.961067,2.136000,12.653678,2.072000,26.059195,
2.334000,-727.783333,2.331000,12.209559,2.266000,26.061398,
2.530000,-733.157733,2.525000,11.928186,2.460000,26.062133,
2.721000,-736.292800,2.719000,11.584395,2.655000,26.062378,
2.915000,-739.427867,2.914000,11.336465,2.850000,26.062459,
3.111000,-741.667200,3.108000,10.987155,3.044000,26.062486,
3.304000,-743.458667,3.303000,10.737385,3.238000,26.062495,
3.500000,-745.698000,3.497000,10.537462,3.433000,26.062498,
3.710000,-747.041600,3.692000,10.337487,3.627000,26.062499,
3.888000,-747.489467,3.886000,10.137496,3.822000,26.062500,
4.089000,-748.385200,4.080000,9.937499,4.016000,26.062500,
4.280000,-749.280933,4.275000,9.870833,4.210000,26.062500,
4.471000,-749.280933,4.469000,9.715278,4.405000,26.062500,
4.664000,-750.176667,4.663000,9.530093,4.599000,26.062500,
4.859000,-750.176667,4.858000,9.351698,4.793000,26.062500,
5.055000,-751.072400,5.052000,9.292233,4.988000,26.062500,
5.251000,-751.968133,5.247000,9.272411,5.182000,26.062500,
5.446000,-752.416000,5.441000,9.132470,5.376000,26.062500,
5.637000,-752.416000,5.635000,9.085823,5.571000,26.062500,
5.834000,-753.311733,5.830000,8.936941,5.766000,26.062500,
6.026000,-753.311733,6.024000,8.887314,5.960000,26.062500,
6.221000,-753.759600,6.219000,8.870771,6.154000,26.062500,
6.415000,-754.207467,6.413000,8.731924,6.349000,26.062500,
6.610000,-754.655333,6.607000,8.685641,6.543000,26.062500,
6.803000,-755.551067,6.802000,8.536880,6.737000,26.062500,
7.001000,-755.103200,6.996000,8.487293,6.932000,26.062500,
7.193000,-756.446800,7.191000,8.470764,7.126000,26.062500,
7.397000,-756.894667,7.385000,8.465255,7.321000,26.062500,
7.582000,-756.446800,7.580000,8.463418,7.515000,26.062500,
7.781000,-756.894667,7.774000,8.346139,7.709000,26.062500,
7.977000,-756.894667,7.969000,8.307046,7.904000,26.062500,
8.166000,-756.894667,8.163000,8.294015,8.098000,26.062500,
8.360000,-755.998933,8.357000,8.289672,8.293000,26.062500,
