heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.196000,-12.271547,0.192000,20.181250,0.127000,25.281250,
0.393000,-31.977680,0.387000,19.281250,0.322000,25.281250,
0.588000,-48.996613,0.582000,18.331250,0.517000,25.281250,
0.783000,-63.776213,0.776000,17.231250,0.711000,25.281250,
0.973000,-76.316480,0.970000,16.347917,0.905000,25.281250,
1.166000,-86.617413,1.164000,15.520139,1.100000,25.281250,
1.366000,-94.679013,1.359000,14.727546,1.294000,25.281250,
1.562000,-100.501280,1.554000,14.080015,1.489000,25.281250,
1.758000,-105.875680,1.748000,13.464172,1.683000,25.281250,
1.983000,-109.458613,1.942000,13.008891,1.877000,25.281250,
2.140000,-112.145813,2.136000,12.590464,2.071000,25.281250,
2.332000,-115.280880,2.331000,12.184321,2.266000,25.281250,
2.546000,-119.311680,2.525000,11.798940,2.461000,25.281250,
2.721000,-122.894613,2.720000,11.403813,2.655000,25.281250,
2.919000,-125.581813,2.914000,11.138771,2.849000,25.281250,
3.110000,-129.612613,3.108000,10.800424,3.044000,25.281250,
3.308000,-128.269013,3.303000,10.575141,3.239000,25.302083,
3.520000,-130.956213,3.497000,10.345880,3.433000,25.288194,
3.694000,-132.747680,3.692000,10.290293,3.627000,25.304398,
3.890000,-132.747680,3.886000,10.117598,3.821000,25.288966,
4.083000,-136.330613,4.081000,9.926699,4.016000,25.283822,
4.276000,-133.195547,4.275000,9.767233,4.211000,25.302941,
4.474000,-130.956213,4.470000,9.580744,4.404000,25.309314,
4.670000,-119.759547,4.664000,9.518581,4.599000,25.311438,
4.874000,-115.280880,4.858000,9.364527,4.793000,25.312146,
5.059000,-118.415947,5.052000,9.313176,4.988000,25.312382,
5.252000,-121.551013,5.247000,9.141892,5.182000,25.291627,
5.447000,-122.446747,5.442000,9.084797,5.377000,25.284709,
5.641000,-122.894613,5.635000,9.065766,5.571000,25.282403,
5.854000,-123.342480,5.830000,9.059422,5.765000,25.281634,
6.029000,-122.894613,6.025000,8.923974,5.960000,25.281378,
6.222000,-123.790347,6.219000,8.745491,6.154000,25.281293,
6.414000,-127.821147,6.413000,8.685997,6.348000,25.281264,
6.614000,-131.404080,6.608000,8.666166,6.544000,25.281255,
6.806000,-133.643413,6.802000,8.659555,6.737000,25.281252,
7.006000,-134.539147,6.997000,8.657352,6.931000,25.281251,
7.210000,-139.017813,7.191000,8.656617,7.126000,25.281250,
7.407000,-136.778480,7.385000,8.656372,7.320000,25.281250,
7.584000,-136.330613,7.580000,8.539624,7.515000,25.281250,
7.777000,-135.882747,7.774000,8.500708,7.709000,25.281250,
7.972000,-135.434880,7.968000,8.487736,7.904000,25.281250,
8.167000,-134.987013,8.163000,8.483412,8.098000,25.281250,
8.364000,-135.434880,8.357000,8.348637,8.292000,25.281250,
8.557000,-136.778480,8.552000,8.303712,8.486000,25.281250,
8.748000,-150.214480,8.746000,8.288737,8.681000,25.281250,
8.943000,-139.017813,8.940000,8.283746,8.876000,25.281250,
9.138000,-145.287947,9.135000,8.261249,9.070000,25.260417,
9.333000,-140.361413,9.329000,8.253750,9.264000,25.253472,
9.527000,-137.674213,9.523000,8.251250,9.458000,25.251157,
9.723000,-137.674213,9.718000,8.117083,9.653000,25.250386,
9.917000,-138.122080,9.913000,8.205694,9.849000,25.250129,
10.111000,-137.674213,10.107000,8.101898,10.043000,25.250043,
10.304000,-137.674213,10.302000,8.067299,10.237000,25.250014,
10.497000,-146.631547,10.496000,8.076600,10.431000,25.270838,
10.695000,-142.152880,10.691000,8.058867,10.627000,25.256946,
10.903000,-140.809280,10.885000,8.052956,10.821000,25.252315,
11.084000,-137.674213,11.079000,8.071819,11.015000,25.271605,
11.281000,-138.122080,11.274000,7.944773,11.209000,25.278035,
11.472000,-139.017813,11.468000,7.881591,11.403000,25.259345,
11.667000,-138.569947,11.663000,8.014697,11.598000,25.273948,
11.862000,-139.017813,11.857000,7.925732,11.792000,25.278816,
12.056000,-139.017813,12.051000,7.896077,11.986000,25.280439,
12.250000,-138.122080,12.246000,7.886192,12.181000,25.280980,
12.447000,-147.975147,12.441000,7.882897,12.376000,25.281160,
12.638000,-139.913547,12.634000,7.881799,12.569000,25.281220,
12.834000,-144.840080,12.829000,7.881433,12.764000,25.281240,
13.025000,-149.318747,13.023000,7.881311,12.959000,25.281247,
13.222000,-138.569947,13.217000,7.881270,13.153000,25.281249,
13.416000,-136.778480,13.412000,7.881257,13.347000,25.281250,
13.607000,-135.434880,13.606000,7.881252,13.541000,25.281250,
13.808000,-135.882747,13.801000,7.881251,13.736000,25.281250,
13.998000,-135.434880,13.996000,7.881250,13.931000,25.281250,
14.192000,-134.987013,14.190000,7.881250,14.125000,25.281250,
14.386000,-135.882747,14.384000,7.747917,14.319000,25.281250,
14.585000,-135.882747,14.578000,7.703472,14.513000,25.281250,
14.779000,-136.778480,14.773000,7.801157,14.708000,25.260417,
14.971000,-134.091280,14.967000,7.700386,14.903000,25.253472,
15.166000,-140.809280,15.162000,7.666795,15.097000,25.251157,
15.357000,-134.539147,15.356000,7.655598,15.291000,25.250386,
15.555000,-133.643413,15.551000,7.651866,15.485000,25.250129,
15.750000,-133.643413,15.745000,7.650622,15.680000,25.250043,
15.943000,-133.643413,15.939000,7.650207,15.874000,25.250014,
16.136000,-135.882747,16.133000,7.650069,16.069000,25.250005,
