heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.196000,-724.648267,0.193000,21.518750,0.129000,26.393750,
0.393000,-726.439733,0.388000,20.868750,0.324000,26.393750,
0.585000,-725.991867,0.582000,19.868750,0.518000,26.277083,
0.779000,-726.887600,0.777000,19.018750,0.713000,26.354861,
0.974000,-727.783333,0.971000,18.218750,0.907000,26.380787,
1.171000,-724.648267,1.166000,17.418750,1.101000,26.272762,
1.363000,-726.439733,1.360000,16.502083,1.296000,26.353421,
1.559000,-725.991867,1.554000,15.813194,1.490000,26.263640,
1.750000,-728.231200,1.749000,15.183565,1.684000,26.233713,
1.948000,-728.679067,1.943000,14.590355,1.878000,26.223738,
2.139000,-725.096133,2.138000,14.009285,2.073000,26.220413,
2.334000,-728.679067,2.332000,13.415595,2.268000,26.219304,
2.528000,-727.335467,2.526000,12.834365,2.463000,26.335601,
2.723000,-724.200400,2.721000,12.373955,2.657000,26.374367,
2.917000,-727.783333,2.915000,11.953818,2.851000,26.270622,
3.111000,-725.096133,3.110000,11.563773,3.045000,26.236041,
3.310000,-725.096133,3.305000,11.167091,3.239000,26.224514,
3.500000,-726.439733,3.498000,10.901530,3.434000,26.220671,
3.699000,-724.200400,3.693000,10.563010,3.629000,26.219390,
3.889000,-725.096133,3.887000,10.183503,3.823000,26.218963,
4.088000,-724.648267,4.082000,9.923668,4.017000,26.218821,
4.277000,-722.856800,4.276000,9.587056,4.212000,26.218774,
4.473000,-723.752533,4.471000,9.474852,4.408000,26.218758,
4.668000,-725.096133,4.665000,9.170784,4.601000,26.218753,
4.862000,-725.991867,4.859000,8.936095,4.795000,26.335418,
5.056000,-727.335467,5.054000,8.724532,4.989000,26.374306,
5.250000,-725.991867,5.248000,8.537344,5.184000,26.270602,
5.445000,-727.783333,5.443000,8.341615,5.378000,26.352701,
5.642000,-728.231200,5.637000,8.143038,5.573000,26.380067,
5.834000,-725.096133,5.832000,7.943513,5.767000,26.272522,
6.032000,-727.335467,6.026000,7.743671,5.962000,26.236674,
6.225000,-725.991867,6.221000,7.560390,6.156000,26.341391,
6.422000,-725.544000,6.415000,7.499297,6.350000,26.259630,
6.611000,-725.096133,6.609000,7.324766,6.545000,26.211543,
6.806000,-723.304667,6.804000,7.266589,6.740000,26.195514,
7.000000,-725.991867,6.998000,7.113863,6.933000,26.190171,
7.194000,-728.231200,7.192000,6.929621,7.128000,26.188390,
7.389000,-727.783333,7.387000,6.868207,7.323000,26.187797,
7.584000,-723.752533,7.582000,6.714402,7.518000,26.187599,
7.781000,-725.096133,7.777000,6.529801,7.712000,26.187533,
7.973000,-725.991867,7.971000,6.468267,7.907000,26.304178,
8.167000,-727.783333,8.165000,6.447756,8.101000,26.343059,
8.363000,-727.335467,8.360000,6.324252,8.295000,26.239353,
8.558000,-724.200400,8.554000,6.283084,8.491000,26.204784,
8.750000,-727.783333,8.749000,6.136028,8.684000,26.309928,
8.945000,-725.991867,8.943000,6.087009,8.879000,26.344976,
9.139000,-725.991867,9.137000,6.070670,9.073000,26.239992,
9.339000,-725.544000,9.332000,5.931890,9.267000,26.204997,
9.528000,-726.887600,9.526000,5.885630,9.462000,26.193332,
9.722000,-727.783333,9.721000,5.736877,9.656000,26.189444,
9.917000,-726.887600,9.915000,5.687292,9.851000,26.188148,
10.111000,-726.887600,10.109000,5.670764,10.045000,26.187716,
10.305000,-725.991867,10.304000,5.531921,10.239000,26.187572,
10.501000,-724.648267,10.498000,5.485640,10.434000,26.187524,
10.694000,-730.022667,10.693000,5.470213,10.628000,26.187508,
10.889000,-727.783333,10.887000,5.465071,10.823000,26.187503,
11.086000,-725.544000,11.082000,5.463357,11.017000,26.187501,
11.278000,-725.096133,11.276000,5.462786,11.211000,26.187500,
11.471000,-726.887600,11.470000,5.345929,11.406000,26.187500,
11.666000,-727.335467,11.665000,5.306976,11.600000,26.187500,
11.862000,-728.231200,11.859000,5.293992,11.795000,26.304167,
12.058000,-724.648267,12.053000,5.289664,11.990000,26.226389,
12.251000,-727.335467,12.248000,5.288221,12.184000,26.200463,
12.443000,-725.096133,12.442000,5.154407,12.377000,26.191821,
12.644000,-725.096133,12.637000,5.109802,12.572000,26.188940,
12.833000,-725.991867,12.831000,5.094934,12.767000,26.187980,
13.027000,-724.648267,13.025000,5.089978,12.961000,26.187660,
13.222000,-724.200400,13.220000,5.088326,13.155000,26.187553,
13.415000,-724.200400,13.414000,5.087775,13.350000,26.187518,
13.610000,-726.439733,13.609000,4.954258,13.544000,26.304173,
13.808000,-725.991867,13.803000,4.909753,13.739000,26.226391,
13.998000,-724.200400,13.997000,4.894918,13.933000,26.200464,
14.194000,-724.200400,14.192000,4.889973,14.127000,26.191821,
14.390000,-727.335467,14.386000,4.888324,14.322000,26.188940,
14.586000,-727.335467,14.581000,4.754441,14.516000,26.187980,
14.780000,-724.200400,14.775000,4.709814,14.711000,26.187660,
14.971000,-726.439733,14.970000,4.694938,14.905000,26.187553,
15.167000,-727.335467,15.164000,4.689979,15.099000,26.304184,
15.365000,-724.648267,15.359000,4.688326,15.294000,26.343061,
15.554000,-724.200400,15.553000,4.687775,15.489000,26.239354,
15.751000,-725.096133,15.747000,4.687592,15.683000,26.204785,
15.943000,-724.200400,15.941000,4.687531,15.877000,26.193262,
16.141000,-723.304667,16.136000,4.687510,16.071000,26.189421,
16.333000,-726.887600,16.330000,4.687503,16.266000,26.188140,
16.530000,-726.439733,16.525000,4.554168,16.460000,26.304380,
16.722000,-725.544000,16.719000,4.509723,16.655000,26.226460,
16.918000,-723.752533,16.913000,4.494908,16.849000,26.317153,
17.110000,-722.856800,17.108000,4.489969,17.043000,26.230718,
17.306000,-722.856800,17.302000,4.488323,17.238000,26.201906,
17.498000,-721.961067,17.497000,4.487774,17.432000,26.192302,
17.693000,-722.408933,17.691000,4.487591,17.627000,26.189101,
17.890000,-725.991867,17.886000,4.487530,17.821000,26.188034,
18.082000,-724.200400,18.080000,4.487510,18.015000,26.187678,
18.276000,-723.304667,18.274000,4.487503,18.210000,26.187559,
18.473000,-724.648267,18.469000,4.370834,18.404000,26.304186,
18.665000,-725.544000,18.663000,4.331945,18.599000,26.226395,
18.860000,-724.200400,18.858000,4.318982,18.793000,26.200465,
19.057000,-723.752533,19.052000,4.314661,18.987000,26.191822,
19.250000,-723.304667,19.246000,4.313220,19.182000,26.305607,
19.444000,-725.096133,19.441000,4.312740,19.376000,26.226869,
19.638000,-723.752533,19.635000,4.312580,19.570000,26.200623,
19.832000,-723.752533,19.829000,4.312527,19.765000,26.308541,
20.026000,-725.544000,20.024000,4.312509,19.959000,26.344514,
20.220000,-724.648267,20.218000,4.312503,20.154000,26.239838,
20.415000,-725.096133,20.413000,4.312501,20.348000,26.321613,
20.608000,-723.304667,20.607000,4.312500,20.543000,26.232204,
20.804000,-726.439733,20.801000,4.312500,20.737000,26.319068,
21.000000,-725.544000,20.996000,4.312500,20.931000,26.348023,
21.194000,-725.544000,21.190000,4.312500,21.126000,26.357674,
21.389000,-723.752533,21.385000,4.312500,21.320000,26.244225,
21.583000,-724.200400,21.579000,4.312500,21.514000,26.206408,
21.776000,-726.887600,21.773000,4.312500,21.709000,26.193803,
21.970000,-725.991867,21.968000,4.312500,21.903000,26.189601,
22.164000,-722.856800,22.162000,4.179167,22.098000,26.188200,
22.359000,-727.335467,22.357000,4.268056,22.292000,26.187733,
22.553000,-724.648267,22.551000,4.164352,22.487000,26.187578,
22.747000,-725.991867,22.746000,4.150617,22.681000,26.208359,
22.943000,-724.648267,22.940000,4.279372,22.875000,26.215286,
23.137000,-726.439733,23.134000,4.188957,23.070000,26.217595,
23.330000,-724.648267,23.329000,4.158819,23.264000,26.218365,
23.526000,-725.096133,23.523000,4.148773,23.459000,26.335288,
23.718000,-724.200400,23.718000,4.145424,23.653000,26.257596,
23.914000,-722.856800,23.912000,4.144308,23.848000,26.231699,
24.108000,-725.096133,24.107000,4.143936,24.042000,26.223066,
24.305000,-725.544000,24.301000,4.122979,24.236000,26.199355,
24.498000,-721.961067,24.495000,4.249326,24.431000,26.191452,
24.692000,-725.096133,24.690000,4.158109,24.625000,26.305484,
24.886000,-724.648267,24.884000,4.127703,24.820000,26.226828,
25.081000,-728.231200,25.079000,4.117568,25.015000,26.200609,
25.277000,-725.544000,25.274000,4.114189,25.209000,26.191870,
25.473000,-724.648267,25.469000,4.113063,25.404000,26.188957,
25.667000,-724.200400,25.663000,4.112688,25.598000,26.187986,
25.862000,-723.752533,25.857000,4.112563,25.792000,26.187662,
26.054000,-725.096133,26.052000,4.112521,25.987000,26.187554,
26.248000,-724.648267,26.246000,4.112507,26.181000,26.304185,
26.443000,-723.752533,26.440000,4.112502,26.376000,26.226395,
26.640000,-725.096133,26.635000,4.112501,26.570000,26.200465,
26.830000,-724.200400,26.829000,4.112500,26.764000,26.191822,
27.028000,-724.200400,27.023000,4.112500,26.959000,26.188941,
27.224000,-723.752533,27.218000,4.112500,27.153000,26.187980,
27.415000,-722.856800,27.412000,4.112500,27.348000,26.187660,
27.608000,-724.648267,27.607000,4.112500,27.542000,26.187553,
27.803000,-721.961067,27.801000,4.112500,27.737000,26.187518,
27.997000,-721.961067,27.996000,3.979167,27.931000,26.187506,
28.191000,-725.544000,28.190000,4.068056,28.125000,26.187502,
28.389000,-722.408933,28.385000,3.964352,28.320000,26.187501,
28.581000,-722.856800,28.579000,4.063117,28.514000,26.187500,
28.778000,-724.200400,28.774000,4.096039,28.708000,26.187500,
28.970000,-724.648267,28.968000,4.107013,28.903000,26.187500,
29.163000,-725.991867,29.162000,4.110671,29.097000,26.187500,
29.357000,-722.856800,29.356000,3.978557,29.292000,26.304167,
29.554000,-724.200400,29.551000,4.067852,29.486000,26.226389,
29.747000,-723.752533,29.745000,4.097617,29.681000,26.200463,
29.942000,-724.648267,29.940000,4.107539,29.875000,26.191821,
