heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.195000,-222.141867,0.193000,27.443750,0.128000,29.593750,
0.388000,-223.933333,0.387000,26.793750,0.323000,29.593750,
0.588000,-223.037600,0.581000,25.547917,0.517000,29.614583,
0.778000,-221.246133,0.776000,24.349306,0.712000,29.621528,
0.974000,-223.037600,0.970000,23.166435,0.906000,29.623843,
1.165000,-224.829067,1.164000,21.988812,1.100000,29.624614,
1.362000,-223.933333,1.358000,20.946271,1.294000,29.624871,
1.555000,-223.485467,1.553000,19.948757,1.489000,29.624957,
1.748000,-223.485467,1.747000,18.966252,1.683000,29.624986,
1.946000,-224.829067,1.941000,18.122084,1.877000,29.624995,
2.138000,-224.829067,2.136000,17.436528,2.072000,29.604165,
2.334000,-221.246133,2.331000,16.541343,2.267000,29.597222,
2.528000,-225.276933,2.525000,15.859614,2.461000,29.594907,
2.724000,-225.276933,2.720000,15.249038,2.655000,29.594136,
2.920000,-223.037600,2.915000,14.645513,2.850000,29.593879,
3.118000,-224.381200,3.108000,14.061004,3.044000,29.593793,
3.305000,-224.381200,3.303000,13.466168,3.238000,29.593764,
3.505000,-219.902533,3.497000,13.017889,3.433000,29.593755,
3.693000,-223.037600,3.691000,12.468463,3.627000,29.593752,
3.891000,-223.037600,3.886000,12.035321,3.822000,29.593751,
4.082000,-221.694000,4.080000,11.624274,4.016000,29.593750,
4.282000,-221.694000,4.275000,11.220591,4.210000,29.593750,
4.471000,-223.485467,4.469000,10.969364,4.405000,29.593750,
4.668000,-225.276933,4.663000,10.618955,4.599000,29.593750,
4.859000,-221.694000,4.858000,10.235485,4.794000,29.593750,
5.053000,-220.350400,5.052000,9.974328,4.988000,29.593750,
5.250000,-223.933333,5.246000,9.770609,5.182000,29.593750,
5.444000,-224.829067,5.441000,9.436036,5.376000,29.593750,
5.637000,-222.589733,5.635000,9.212012,5.570000,29.614583,
5.833000,-223.933333,5.830000,9.004004,5.765000,29.621528,
6.027000,-223.037600,6.024000,8.684668,5.959000,29.623843,
6.220000,-224.381200,6.218000,8.424056,6.154000,29.603781,
6.413000,-223.485467,6.412000,8.203852,6.348000,29.597094,
6.608000,-222.589733,6.607000,7.997117,6.542000,29.594865,
6.802000,-223.037600,6.801000,7.811539,6.736000,29.594122,
6.997000,-223.037600,6.995000,7.616346,6.931000,29.593874,
7.192000,-223.485467,7.190000,7.417949,7.125000,29.593791,
7.386000,-225.724800,7.384000,7.351816,7.319000,29.593764,
7.581000,-224.829067,7.578000,7.217272,7.514000,29.614588,
7.774000,-222.141867,7.773000,7.039091,7.708000,29.621529,
7.969000,-223.037600,7.967000,6.846364,7.903000,29.623843,
8.163000,-223.037600,8.161000,6.782121,8.097000,29.624614,
8.358000,-223.485467,8.356000,6.644040,8.291000,29.624871,
8.553000,-223.485467,8.550000,6.464680,8.485000,29.624957,
8.747000,-225.276933,8.744000,6.404893,8.680000,29.624986,
8.940000,-223.037600,8.938000,6.251631,8.874000,29.624995,
9.135000,-223.037600,9.133000,6.200544,9.068000,29.624998,
9.328000,-223.485467,9.327000,6.050181,9.264000,29.624999,
9.523000,-224.381200,9.521000,5.845894,9.457000,29.604166,
9.717000,-224.829067,9.716000,5.777798,9.651000,29.597222,
9.912000,-223.485467,9.910000,5.659266,9.845000,29.615741,
10.109000,-224.829067,10.105000,5.598922,10.040000,29.601080,
10.301000,-223.933333,10.299000,5.466307,10.234000,29.617027,
10.495000,-223.037600,10.493000,5.422102,10.429000,29.622342,
10.689000,-226.172667,10.687000,5.407367,10.623000,29.624114,
10.883000,-223.485467,10.882000,5.269122,10.817000,29.624705,
11.078000,-222.141867,11.076000,5.223041,11.012000,29.624902,
11.272000,-223.037600,11.270000,5.207680,11.206000,29.624967,
11.469000,-221.246133,11.465000,5.069227,11.400000,29.624989,
11.663000,-222.589733,11.659000,5.023076,11.594000,29.624996,
11.854000,-223.037600,11.853000,4.874359,11.788000,29.624999,
